Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Căn hộ chung cư tại Feliz Homes	77 m²	2,6 tỷ		2 phòng	2 phòng	Hợp đồng mua bán.	20.9848365783691	105.859855651855	Dự án Feliz Homes, Đường Đền Lừ, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Khương Đình	38 m²	4,4 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9911336	105.8132797	Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại đường Lạc Long Quân	260 m²	28 tỷ		5 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0610134	105.809127	Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Times City	115 m²	6,75 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.99479103088379	105.86784362792969	Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà biệt thự, liền kề tại Xuân Phương Tasco	150 m²	15,8 tỷ					21.025352478027344	105.74130249023438	Dự án Xuân Phương Tasco, Đường Trịnh Văn Bô, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	80 m²	2,39 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng.	21.0024147033691	105.964111328125	Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại phường Quang Trung	50 m²	140 triệu/m²				Sổ đỏ/ Sổ hồng			Phường Quang Trung, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Kim Ngưu	30 m²	4,2 tỷ		3 phòng		Sổ đỏ/ Sổ hồng	21.0049863	105.8611049	Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Roman Plaza	70 m²	2,9 tỷ	Tây - Nam	2 phòng	2 phòng	Hợp đồng mua bán	20.9843406677246	105.776809692383	Dự án Roman Plaza, Đường Tố Hữu, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Đào Tấn	72 m²	19,9 tỷ		8 phòng	10 phòng	Sổ đỏ/ Sổ hồng	21.0325448	105.8089097	Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà mặt phố tại đường Hoàng Quốc Việt	50 m²	24,8 tỷ				Sổ đỏ/ Sổ hồng	21.0462988	105.7992852	Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại HC Golden City	82 m²	3,8 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng.	21.037178	105.87307	Dự án HC Golden City, Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phố Yên Duyên	24 m²	2,6 tỷ		6 phòng	5 phòng	Sổ đỏ/ Sổ hồng.	20.9722822	105.8683334	Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà mặt phố tại đường Ngõ Huyện	30 m²	15 tỷ				Sổ đỏ/ Sổ hồng	21.0295769	105.8486747	Đường Ngõ Huyện, Phường Hàng Trống, Hoàn Kiếm, Hà Nội	Hoàn Kiếm	Hà Nội
Nhà riêng tại đường Tây Sơn	62 m²	7,5 tỷ					21.0040173	105.8212365	Đường Tây Sơn, Phường Thịnh Quang, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại phố Thái Hà	41 m²	9,4 tỷ		5 phòng	5 phòng		21.012597	105.8201087	Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Trường Chinh	40 m²	5,8 tỷ		11 phòng			21.0007661	105.8288422	Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại KĐT Tây Hồ Tây - Starlake Hà Nội	101 m²	8 tỷ		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.059675216674805	105.8040771484375	Dự án KĐT Tây Hồ Tây - Starlake Hà Nội, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Shophouse, nhà phố thương mại tại N04B Ngoại Giao Đoàn	126 m²	8,2 tỷ	Đông			Sổ đỏ/ Sổ hồng	21.0658798217773	105.801383972168	Dự án N04B Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Đất nền dự án tại Khu đô thị Thanh Hà Mường Thanh	100 m²	6 tỷ	Nam			Hợp đồng mua bán	20.9397029876709	105.787254333496	Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại phố Giảng Võ	65 m²	17 tỷ				Sổ đỏ chính chủ.	21.0262867	105.8225952	Phố Giảng Võ, Phường Kim Mã, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại phố Kim Mã	30 m²	3,75 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.031921	105.82514	Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Phùng Khoang	120 m²	25,9 tỷ				Sổ đỏ/ Sổ hồng.	20.995641708374	105.792327880859	Phùng Khoang, 67, Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại phố Liễu Giai	140 m²	210 triệu/m²				Sổ đỏ/ Sổ hồng	21.0339173	105.8133757	Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại phố Doãn Kế Thiện	55 m²	10 tỷ					21.04087	105.779158	Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường 32	44 m²	32 triệu/m²				Sổ đỏ.	21.0783719	105.6914397	Đường 32, Xã Đức Thượng, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai	146 m²	17,5 tỷ	Tây - Bắc	4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.03326988220215	105.81670379638672	Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường Tứ Hiệp	40 m²	3,7 tỷ	Tây	3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9230367	105.8573701	đường Tứ Hiệp, Xã Tứ Hiệp, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Căn hộ chung cư tại T&T Riverview	99,4 m²	2,98 tỷ	Đông - Bắc	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng.	20.998937606811523	105.88019561767578	Dự án T&T Riverview, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony	66,44 m²	2,8 tỷ		2 phòng	2 phòng		21.024394989013672	105.72908782958984	Dự án Moonlight 1 - An Lạc Green Symphony, Xã An Khánh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Kim Giang	58 m²	8,8 tỷ		6 phòng	4 phòng	Sổ đỏ	20.9791213	105.8210801	Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Trung tâm thương mại TSQ	176 m²	5,66 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ	20.978330612182617	105.78334045410156	Dự án TTTM TSQ, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại phường Khương Đình	50 m²	5,7 tỷ		6 phòng			20.9898638136009	105.820247106858	Phường Khương Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Shophouse, nhà phố thương mại tại Vinhomes Ocean Park Gia Lâm	98 m²	12 tỷ	Đông - Nam	8 phòng	5 phòng	Sổ đỏ 50 năm.	21.00241470336914	105.964111328125	Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Bán đất tại xã Nam Phương Tiến	520 m²	16 tỷ				Sổ đỏ/ Sổ hồng	20.8445058369497	105.596930551835	Xã Nam Phương Tiến, Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	50 m²	10,3 tỷ					20.9681471	105.7549524	Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Mon City	86 m²	Thỏa thuận		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.035120010376	105.767433166504	Dự án Mon City - Hải Đăng City, Đường Hàm Nghi, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Phú Diễn	61 m²	9,5 tỷ		2 phòng	2 phòng		21.0452512	105.7624855	Ngõ 193, Đường Phú Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Golden Palace	95 m²	3,3 tỷ	Nam	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.01193618774414	105.77499389648438	Dự án Golden Palace, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại đường Tân Trại	171,3 m²	17 triệu/m²	Tây				21.2061035	105.7916176	Đường Tân Trại, Xã Phú Cường, Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Nhà mặt phố tại phố Phạm Huy Thông	48 m²	21,5 tỷ		3 phòng		Sổ đỏ/ Sổ hồng	21.0278762	105.8099381	Phố Phạm Huy Thông, Phường Ngọc Khánh, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Khu đô thị Mỹ Đình II	115 m²	Thỏa thuận	Đông - Nam	3 phòng	2 phòng		21.031585693359375	105.76820373535156	Dự án Mỹ Đình II, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Chung cư C1 C2 Xuân Đỉnh	66 m²	2,7 tỷ		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.07024574279785	105.79147338867188	Dự án C1 C2 Xuân Đỉnh, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà mặt phố tại Tây Nam Hồ Linh Đàm	60 m²	12,5 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng.	20.962661743164062	105.8212661743164	Dự án Tây Nam Hồ Linh Đàm, Đường Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại HUD Me Linh Central	250 m²	Thỏa thuận	Tây - Nam	4 phòng	3 phòng	Hợp đồng mua bán	21.211374282836914	105.71751403808594	Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội	Mê Linh	Hà Nội
Căn hộ chung cư tại Park View Residence Dương Nội	57 m²	1,87 tỷ	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ	20.9643268585205	105.749549865723	Dự án Park View Residence Dương Nội, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Trần Phú	45 m²	4,8 tỷ		4 phòng	5 phòng	Sổ đỏ	20.9747143	105.7854713	Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại phố Vũ Miện	339 m²	165 tỷ	Đông - Nam			Đang chờ sổ	21.0555845871637	105.838412054856	Phố Vũ Miện, Phường Yên Phụ, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường 21A	190 m²	12 tỷ					20.9716211	105.5532993	Đường 21A, Xã Phú Cát, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Nhà mặt phố tại đường Trần Vỹ	60 m²	16 tỷ	Tây - Bắc	3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0417677	105.7733707	Đường Trần Vỹ, Phường Mai Dịch, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Green House	80 m²	Thỏa thuận		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0701694488525	105.906837463379	Dự án Green House, Phường Đức Giang, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Vĩnh Hưng	45 m²	2,25 tỷ		3 phòng			20.9891728	105.8779296	Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Lideco - Bắc Quốc lộ 32	300 m²	Thỏa thuận	Đông - Bắc			Sổ đỏ	21.0685615539551	105.710182189941	Dự án Lideco, Đường Quốc lộ 32, Thị trấn Trạm Trôi, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Đội Cấn	40 m²	5,1 tỷ		4 phòng	5 phòng		21.0349161	105.8253805	Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Tecco Garden	128 m²	Thỏa thuận		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9464588165283	105.855781555176	Dự án Tecco Garden, đường Tứ Hiệp, Xã Tứ Hiệp, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới An Hưng	400 m²	Thỏa thuận				Sổ đỏ	20.9731559753418	105.75764465332	Dự án An Hưng, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại Thành phố Giao Lưu	130 m²	42 tỷ		5 phòng	5 phòng	Sổ đỏ chính chủ	21.062650680541992	105.78419494628906	Dự án Thành Phố Giao Lưu, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Kiêu Kỵ	125 m²	6,5 tỷ	Nam	5 phòng	5 phòng	Sổ đỏ/ Sổ hồng.	20.9832158	105.9604404	Đường Kiêu Kỵ, Xã Kiêu Kỵ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Căn hộ chung cư tại Khu đô thị Việt Hưng	98,5 m²	2,95 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.06269073486328	105.90833282470703	Dự án Việt Hưng, Phường Đức Giang, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà mặt phố tại phố Xã Đàn	59 m²	19,8 tỷ	Tây - Nam	3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0168216	105.8318746	Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà mặt phố tại đường Yên Sở	60 m²	10,8 tỷ		1 phòng	1 phòng	Sổ đỏ/ Sổ hồng.	20.9665487	105.8701797	Đường Yên Sở, Phường Yên Sở, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà mặt phố tại phố Nguyễn Khắc Nhu	80 m²	18,5 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0439182	105.8458047	Phố Nguyễn Khắc Nhu, Phường Nguyễn Trung Trực, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại đường Liên Mạc	500 m²	31 tỷ				Sổ đỏ/ Sổ hồng	21.0865334	105.7519296	Đường Liên Mạc, Phường Liên Mạc, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Vinhomes Smart City	55 m²	3,1 tỷ		2 phòng	1 phòng	Sổ đỏ/ Sổ hồng	21.008852005004883	105.7439193725586	Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại đường 87A	374 m²	3 tỷ					21.0866803	105.4033087	Đường 87A, Xã Vân Hòa, Ba Vì, Hà Nội	Ba Vì	Hà Nội
Bán đất tại xã Yên Bài	2.816 m²	12,3 tỷ				Sổ đỏ/ Sổ hồng	21.0517700016119	105.444607016868	Xã Yên Bài, Huyện Ba Vì, Hà Nội	Ba Vì	Hà Nội
Căn hộ chung cư tại phố Lò Đúc	80 m²	2,3 tỷ		2 phòng	1 phòng		21.018134	105.855273	Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Lạc Long Quân	56 m²	11,2 tỷ		5 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0536849	105.8088967	Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Sparks	138 m²	3,1 tỷ		3 phòng	2 phòng		20.979867935180664	105.7439193725586	Dự án The Sparks, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại phố Khương Thượng	45 m²	1 tỷ		3 phòng	1 phòng	Sổ đỏ chính chủ cho 29 căn hộ chung	21.0043936	105.8256511	354/189, Phố Khương Thượng, Phường Kim Liên, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại Khu đô thị Mỹ Đình I	125 m²	3,98 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.034912109375	105.764404296875	Dự án Mỹ Đình I, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại đường Võ Nguyên Giáp	86 m²	92 triệu/m²				Sổ đỏ/ Sổ hồng	21.1233291	105.8269595	Đường Võ Nguyên Giáp, Vĩnh Thanh, Xã Vĩnh Ngọc, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Căn hộ chung cư tại đường Trương Định	58 m²	816 triệu	Đông	2 phòng	1 phòng	Sổ đỏ/ Sổ hồng	20.9937815	105.8466875	Đường Trương Định, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Iris Garden	62 m²	2,9 tỷ		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.031162	105.760414	Iris Garden, 30, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Tam Trinh	31 m²	3,5 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9911024	105.8630615	Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Happy Land 1-5 Đông Anh	90 m²	7,35 tỷ	Nam			Sổ đỏ/ Sổ hồng	21.1681671142578	105.846160888672	Dự án Happy Land Đông Anh, Thị trấn Đông Anh, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Bán đất tại đường An Dương Vương	63 m²	4,6 tỷ					21.0897932	105.804506	Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Five Star West Lake	170 m²	13,8 tỷ		3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.042491912841797	105.82044982910156	Dự án Five Star West Lake, Đường Hoàng Hoa Thám, Phường Thụy Khuê, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính	122 m²	4,8 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.008365631103516	105.80290985107422	Dự án Trung Hòa Nhân Chính, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Xuân La	46 m²	4,78 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0644876	105.8061035	Ngõ 38, Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Thụy Khuê	37 m²	7,2 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0427171	105.8241613	Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Ngô Thì Sỹ	46 m²	5,9 tỷ		4 phòng	4 phòng	Sổ đỏ	20.9775907	105.7778381	Đường Ngô Thì Sỹ, Phường Vạn Phúc, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Hateco Laroma	94 m²	75 triệu/m²					21.020416259765625	105.80724334716797	Dự án Hateco Laroma, Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà biệt thự, liền kề tại đường Nguyễn Văn Huyên	81 m²	20,5 tỷ		3 phòng		Sổ đỏ/ Sổ hồng	21.0381013	105.797596	Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Sun Square	240 m²	9,5 tỷ	Tây - Nam	3 phòng	2 phòng	Hợp đồng mua bán	21.03376579284668	105.77030181884766	Dự án Sun Square, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Yết Kiêu	27 m²	3,05 tỷ		3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.97458	105.7769317	Đường Yết Kiêu, Phường Yết Kiêu, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại xã Hải Bối	52 m²	37,5 triệu/m²				Sổ đỏ/ Sổ hồng	21.1118757002431	105.803936473047	Xã Hải Bối, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Căn hộ chung cư tại CT2 Xuân Phương	156 m²	Thỏa thuận		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.031505584716797	105.75537872314453	Dự án CT2 Xuân Phương, Phường Xuân Phương, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Thạch Bàn	31 m²	2,7 tỷ	Đông - Nam	3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0250451	105.9078847	Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội	Long Biên	Hà Nội
Bán đất tại đường Tỉnh Lộ 87A	1.110 m²	7,5 tỷ	Đông - Nam			Sổ đỏ/ Sổ hồng	21.1176413	105.4006927	Đường Tỉnh Lộ 87A, Xã Yên Bài, Ba Vì, Hà Nội	Ba Vì	Hà Nội
Nhà mặt phố tại đường Lê Trọng Tấn	110 m²	49 tỷ		6 phòng	6 phòng	Sổ đỏ/ Sổ hồng	21.0002924	105.8280106	Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại phố Thái Hà	71 m²	29 tỷ		8 phòng	8 phòng	Sổ đỏ/ Sổ hồng	21.012597	105.8201087	Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại N01-T6 Ngoại Giao Đoàn	142 m²	83 triệu/m²	Nam	4 phòng	2 phòng	Hợp đồng mua bán	21.063737869262695	105.79704284667969	Dự án N01-T6 Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phố Phương Mai	40 m²	5,45 tỷ		4 phòng	4 phòng		21.0012748	105.8393044	Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường Quang Tiến	58 m²	2,7 tỷ	Tây - Bắc			Sổ đỏ	21.0011158	105.7579961	Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại The Tonkin - Vinhomes Smart City	90,2 m²	4,09 tỷ	Đông	3 phòng	2 phòng	Hợp đồng mua bán.	21.005226135253906	105.7389144897461	Dự án The Tonkin - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Xuân Thủy	42 m²	Thỏa thuận		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0364968	105.7856248	Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Đức Giang	60 m²	6,8 tỷ		6 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0665367	105.8917824	Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm	148,5 m²	24 tỷ					21.002415	105.96411	Dự án Vinhomes Ocean Park Gia Lâm, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Bán đất tại xã Mai Đình	470 m²	12 triệu/m²	Đông - Nam			Sổ đỏ	21.2023768797758	105.829378857868	Xã Mai Đình, Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Căn hộ chung cư tại Sky Central	81 m²	3,5 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.9827823638916	105.83438110351562	Sky Central, 176, Đường Định Công, Phường Định Công, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Kho, nhà xưởng tại xã Quảng Phú Cầu	1.000 m²	6,99 triệu/m²					20.7776474328319	105.782742134707	Xã Quảng Phú Cầu, Ứng Hòa, Hà Nội	Ứng Hòa	Hà Nội
Bán đất tại đường Phú Xá	180 m²	34 tỷ				Sổ đỏ/ Sổ hồng.	21.0902782	105.8112982	Đường Phú Xá, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Văn Phú	50 m²	9,8 tỷ		6 phòng	5 phòng	Sổ đỏ/ Sổ hồng	20.9620075	105.7685814	Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Giáp Bát	73 m²	17,8 tỷ					20.9852949	105.8435415	Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Nguyễn Sơn	65 m²	10,2 tỷ		4 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0456361	105.8807065	Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
