Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Nhà biệt thự, liền kề tại An Lạc Green Symphony	135,51 m²	18,86 tỷ	Đông - Nam	4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.03314971923828	105.73218536376953	Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Đất nền dự án tại Khu đô thị Cienco 5 Mê Linh	100 m²	Thỏa thuận				Sổ đỏ.	21.165542602539062	105.75314331054688	Dự án Cienco 5 Mê Linh, Đường Cao tốc Thăng Long Nội Bài, Xã Tiền Phong, Mê Linh, Hà Nội	Mê Linh	Hà Nội
Nhà riêng tại phường Yên Nghĩa	30 m²	3,85 tỷ				Sổ đỏ			Phường Yên Nghĩa, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại đường Ngọc Thụy	50 m²	5 tỷ				Sổ đỏ/ Sổ hồng	21.0497426	105.8667669	Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Phương Đông Green Home	72 m²	Thỏa thuận		3 phòng	2 phòng	Hợp đồng mua bán	21.0668716430664	105.903625488281	Dự án Phương Đông Green Home, Phường Đức Giang, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Linh Đàm	290 m²	45 tỷ	Đông	5 phòng	6 phòng	Sổ đỏ/ Sổ hồng.	20.97145652771	105.828170776367	Dự án KĐT Linh Đàm, Đường Linh Đàm, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Phú Diễn	75 m²	12,9 tỷ				Sổ đỏ/ Sổ hồng	21.0301120970758	105.759756953389	Đường Phú Diễn, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Him Lam Vĩnh Tuy	400 m²	249,9 triệu/m²	Đông - Nam	6 phòng	9 phòng	Sổ đỏ/ Sổ hồng.	21.0305805206299	105.886756896973	Dự án Him Lam Vĩnh Tuy, Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại An Quý Villa - KĐT Dương Nội	50 m²	9,95 tỷ		4 phòng	4 phòng	Sổ đỏ chính chủ	20.980504989624023	105.75494384765625	Dự án An Quý Villa - KĐT Dương Nội, Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Mandarin Garden	130,1 m²	64 triệu/m²		2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.004484176635742	105.79862976074219	Dự án Mandarin Garden, Đường Hoàng Minh Giám, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Lê Văn Lương	70 m²	26,6 tỷ	Tây - Bắc	6 phòng	7 phòng	Sổ đỏ/ Sổ hồng.	21.0040864	105.8031129	Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Đàm Quang Trung	42 m²	3 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0319821	105.9006367	Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Dolphin Plaza	70 m²	2,75 tỷ	Bắc	2 phòng	1 phòng	Sổ đỏ	21.030044555664062	105.77662658691406	Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Golden Palace	140,7 m²	4,5 tỷ	Bắc	4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0119361877441	105.774993896484	Dự án Golden Palace, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Golden Land	111 m²	4 tỷ	Tây - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.993486404418945	105.8069076538086	Dự án Golden Land, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại HH2 Linh Đàm	46 m²	1,39 tỷ		2 phòng	1 phòng	Hợp đồng mua bán	20.96433448791504	105.8272933959961	Dự án HH2 Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán đất tại phố Khúc Thừa Dụ	160 m²	74 tỷ				Có sổ đỏ chính chủ.	21.0339527	105.7850022	Phố Khúc Thừa Dụ, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại phường Ngọc Thụy	35 m²	3,85 tỷ		3 phòng	4 phòng		21.0590369255725	105.868185428359	Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Đông Thiên	32 m²	3,85 tỷ		3 phòng	4 phòng		20.9863974	105.878194	Ngõ 108, Đường Đông Thiên, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán đất tại đường 421B	372 m²	886 triệu					21.0226621	105.646323	Đường 421B, Xã Sài Sơn, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Bán đất tại đường Ngô Xuân Quảng	137 m²	18,6 tỷ				Sổ đỏ/ Sổ hồng	21.0154827	105.9364818	Đường Ngô Xuân Quảng, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại đường Phố Trạm	55 m²	5,3 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.026428	105.8930876	Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	64,7 m²	2 tỷ	Tây - Nam	2 phòng	2 phòng		21.00241470336914	105.964111328125	Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà biệt thự, liền kề tại đường Quảng An	254 m²	550 triệu/m²	Đông - Nam			Sổ đỏ/ Sổ hồng	21.0656656	105.8246454	Đường Quảng An, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại xã Tiên Dương	86 m²	3,35 tỷ					21.146099907461	105.830979225352	Cổ Dương, Xã Tiên Dương, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Trần Hưng Đạo	50 m²	12,99 tỷ		4 phòng	5 phòng		21.0225734	105.8468596	Đường Trần Hưng Đạo, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội	Hoàn Kiếm	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Cổ Loa	150 m²	Thỏa thuận	Đông - Nam			Sổ đỏ/ Sổ hồng	21.115686416625977	105.87013244628906	Dự án Vinhomes Cổ Loa, Đường Trường Sa, Xã Đông Hội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà mặt phố tại đường Xuân Diệu	150 m²	70,9 tỷ				Sổ đỏ/ Sổ hồng	21.066373	105.8265568	Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Điện Biên Phủ	75 m²	19,5 tỷ				Sổ đỏ chính chủ, vuông vắn.	21.0316049	105.8401787	Ngõ 28B, Đường Điện Biên Phủ, Phường Điện Biên, Ba Đình, Hà Nội	Ba Đình	Hà Nội
