Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon
Nhà riêng tại đường Hồ Ba Mẫu	0.14718602917610416	9.9	6	6	2	21.013058	105.839329
Căn hộ chung cư tại BRG Diamond Residence	3.3057160615003705	14.6	4	3	2	21.005226135253903	105.80506134033205
Nhà riêng tại đường Nhân Mỹ	-0.8645306218027624	3.65	6	4	2	21.0194458	105.7718711
Nhà riêng tại đường Hoàng Quốc Việt	-0.7164745265375624	6.99	5	5	2	21.0460559	105.7916464
Nhà mặt phố tại đường Hoàng Đôn Hòa	-0.4697143677622291	13.9	4	4	-1	20.9703991922046	105.770880789127
Căn hộ chung cư tại Hapulico Complex	1.3069587754201706	5.1	3	2	2	21.000488	105.80716
Căn hộ chung cư tại GoldSeason	0.8134384578695041	3.9	3	2	2	20.99477195739746	105.8061294555664
Căn hộ chung cư tại Lilama 124 Minh Khai	1.0601986166448374	3.13	3	2	1	20.994713	105.853065
Nhà mặt phố tại đường Trương Định	-0.2229542089868958	18.8	3	4	-1	20.9876115	105.8469401
Căn hộ chung cư tại Khu đô thị Sài Đồng	-0.0008700660890958257	2.2	3	2	-1	21.03484535217285	105.91271209716795
Căn hộ chung cư tại Anland LakeView	0.9861705690122373	3.85	3	2	1	20.9830436706543	105.757339477539
Căn hộ chung cư tại Khu đô thị Mỹ Đình II	0.5913543149717041	3.25	3	2	2	21.03158569335937	105.76820373535156
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	0.2705661085637708	2.29	3	2	-1	21.0024147033691	105.964111328125
Căn hộ chung cư tại Gelexia Riverside	0.5913543149717041	3.25	3	2	2	20.972938537597656	105.8663558959961
Căn hộ chung cư tại Home City Trung Kính	0.023805949788437503	3.6	2	2	2	21.0160980224609	105.792488098145
Nhà riêng tại đường Hoàng Văn Thái	-0.543742415394829	12.4	4	6	2	20.9965037	105.8261259
Căn hộ chung cư tại Làng Việt Kiều Châu Âu Euroland	1.8991831564809705	4.8	3	2	2	20.983457565307617	105.78564453125
Nhà riêng tại đường Thạch Bàn	-0.9385586694353624	2.7	3	4	2	21.0363886494904	105.903554198894
Căn hộ chung cư tại Hà Nội Center Point	0.023805949788437503	3.2	2	2	-1	21.004817962646484	105.80467224121094
Nhà riêng tại phường Dịch Vọng Hậu	-0.5684184312723625	12.0	4	4	2	21.0359630084976	105.785862056445
Nhà riêng tại đường Đại Từ	-0.2229542089868958	6.98	6	4	2	20.9713546	105.8353495
Căn hộ chung cư tại C14 - Bộ Công An	1.0108465848897707	3.35	3	2	2	20.990812301635746	105.7839126586914
Nhà riêng tại đường Nguyễn Văn Huyên	0.023805949788437503	14.8	16	16	2	21.0420749	105.797679
Căn hộ chung cư tại Royal City	0.07315798154350417	4.4	2	2	2	21.002666473388672	105.8154296875
Căn hộ chung cư tại T&T Tower	-0.4697143677622291	2.4	1	1	2	20.9830341339111	105.835113525391
Nhà riêng tại phường Mai Động	-0.8398546059252291	5.1	4	4	2	20.9911763142498	105.864617559661
Căn hộ chung cư tại Eco Green City	0.9121425213796374	3.4	3	2	2	20.9842433929443	105.808448791504
Căn hộ chung cư tại The Golden Palm Lê Văn Lương	0.2705661085637708	3.8	2	2	-1	21.006311416625977	105.80747985839844
Căn hộ chung cư tại Vinhomes D'Capitale	0.07315798154350417	4.5	2	2	2	21.00580596923828	105.79437255859376
Nhà riêng tại đường Tân Mai	-0.5190663995172957	7.55	4	4	2	20.9837408	105.8500372
Căn hộ chung cư tại Green Park Trần Thủ Độ	-0.2969822566194958	2.55	2	2	2	20.95876884460449	105.8463134765625
Căn hộ chung cư tại The Pride	0.14718602917610416	2.65	2	2	2	20.976024627685547	105.7615966796875
Căn hộ chung cư tại N01-T4 Ngoại Giao Đoàn	1.0108465848897707	6.3	3	2	2	21.06303596496582	105.79541778564452
Nhà mặt phố tại đường Võ Chí Công	-0.913882653557829	14.5	3	4	2	21.0597044	105.8045357
Nhà riêng tại đường Trương Công Giai	-0.4697143677622291	14.5	4	7	2	21.0329446	105.7902943
Nhà riêng tại đường Hà Huy Tập	-0.2229542089868958	3.4	3	1	2	21.0845397	105.9164987
Nhà riêng tại đường Âu Cơ	-0.8151785900476957	3.0	2	2	2	21.0628371	105.8321466
Nhà mặt phố tại đường Quang Trung	-0.5684184312723625	14.8	3	3	2	20.9682142	105.7722739
Căn hộ chung cư tại VP6 Linh Đàm	-0.09957412959922915	1.75	2	2	1	20.967145919799805	105.83313751220705
Nhà biệt thự, liền kề tại đường Chiến Thắng	-0.5190663995172957	8.8	4	4	2	20.9791537	105.7962032
Căn hộ chung cư tại Goldmark City	0.8381144737470374	3.91	3	2	2	21.044233322143555	105.76731872558594
Nhà riêng tại đường Đoàn Kết	-0.4697143677622291	1.98	2	2	2	20.9298332057738	105.722594619543
Nhà riêng tại đường Huỳnh Tấn Phát	-0.7905025741701623	2.95	2	2	2	21.0163377	105.7840464
Căn hộ chung cư tại Imperia Smart City	-0.12425014547676247	4.5	2	2	2	20.999277114868164	105.73811340332033
Nhà mặt phố tại đường Trịnh Công Sơn	-0.5930944471498958	16.49	7	7	2	21.0777116	105.817596
Nhà riêng tại đường Vạn Bảo	-0.6671224947824957	5.25	3	4	2	21.0325191	105.8170253
Căn hộ chung cư tại Thanh Xuân Complex	0.49265025146157077	5.1	2	2	2	20.9992942810059	105.804954528809
Nhà riêng tại đường Ngọc Trục	-0.4697143677622291	4.5	4	5	2	20.9886368	105.7710541
Nhà riêng tại phố Phạm Tuấn Tài	-0.17360217723182914	10.7	5	6	2	21.043684	105.7863369
Nhà riêng tại đường Nguyễn Khang	-0.9632346853128957	3.35	3	3	2	21.0276141	105.7986536
Nhà riêng tại đường Vũ Phạm Hàm	-0.09957412959922915	12.2	4	3	2	21.0156149	105.7974923
Nhà riêng tại đường Hoàng Văn Thái	-0.7905025741701623	6.7	3	3	2	20.9969854	105.8245436
Căn hộ chung cư tại Khu nhà ở 90 Nguyễn Tuân	0.048481965665970836	3.1	2	2	2	20.996298	105.80563
Căn hộ chung cư tại phố Khương Thượng	-0.7164745265375624	1.75	1	1	2	21.0041497	105.8249427
Nhà riêng tại đường Cổ Nhuế	-0.2969822566194958	5.8	4	4	2	21.0715542	105.7771263
Nhà riêng tại phường Cự Khối	-0.8398546059252291	1.7	2	2	2	21.0084843730474	105.903406500457
Căn hộ chung cư tại Tứ Hiệp Plaza	0.3692701720739041	2.58	3	2	2	20.95258903503418	105.8518524169922
Căn hộ chung cư tại Royal City	1.3563108071752372	6.6	2	2	2	21.002666473388672	105.8154296875
Căn hộ chung cư tại Sunshine Garden	0.887466505502104	5.2	3	2	2	20.99668502807617	105.87384796142578
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	-0.09957412959922915	13.25	4	4	2	20.97244644165039	105.81983947753906
Căn hộ chung cư tại Seasons Avenue	0.17186204505363747	3.5	2	2	2	20.98702621459961	105.78683471679688
Nhà riêng tại đường Minh Khai	-0.7164745265375624	3.6	3	4	2	20.9961964	105.8619648
Nhà riêng tại đường Quang Trung	-0.09957412959922915	7.55	4	3	2	20.9682142	105.7722739
Nhà biệt thự, liền kề tại Jade Square	1.257606743665104	21.9	6	6	1	21.07397079467773	105.7908706665039
Nhà riêng tại đường Minh Khai	-0.913882653557829	3.8	3	3	2	20.9950928	105.8567517
Nhà riêng tại đường Trần Quốc Vượng	-0.765826558292629	5.2	4	4	2	21.0345145	105.7840368
Căn hộ chung cư tại Mulberry Lane	1.331634791297704	3.8	3	2	-1	20.9865188598633	105.786399841309
Nhà mặt phố tại đường Bờ Sông Sét	0.2705661085637708	17.0	4	6	2	20.983333	105.8451761
Căn hộ chung cư tại Sky Park Residence	1.479690886562904	8.0	3	2	2	21.027246475219727	105.7860107421875
Căn hộ chung cư tại Khu đô thị Mễ Trì Hạ	0.023805949788437503	3.35	2	2	2	21.01499366760254	105.78269958496094
Nhà riêng tại phường Bồ Đề	2.170619331133837	11.9	5	5	2	21.0381096628588	105.872891462379
Căn hộ chung cư tại Vinhomes Smart City	-0.14892616135429582	2.83	2	2	1	21.0088520050049	105.743919372559
Căn hộ chung cư tại Goldmark City	1.1589026801549707	3.9	3	2	2	21.0442333221436	105.767318725586
Căn hộ chung cư tại Vinhomes Times City - Park Hill	1.8251551088483706	10.0	4	3	2	20.99433326721192	105.86756134033205
Căn hộ chung cư tại CT36 - Dream Home	0.5666782990941708	3.8	3	2	2	20.9785938262939	105.835342407227
Nhà riêng tại phố Xã Đàn	-0.6177704630274291	11.5	5	5	2	21.0117028	105.8368627
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	0.14718602917610416	18.6	5	5	2	20.97480010986328	105.8353042602539
Căn hộ chung cư tại Royal City	1.5290429183179706	8.2	3	2	2	21.002666473388672	105.8154296875
Nhà riêng tại phố Cự Lộc	-0.8398546059252291	4.3	3	3	2	21.0029343	105.8119869
Nhà riêng tại đường Mậu Lương	-0.2229542089868958	10.7	6	5	2	20.9584268	105.7945406
Căn hộ chung cư tại Green Park Trần Thủ Độ	-0.3956863201296291	2.1	2	2	2	20.9587688446045	105.846313476563
Nhà riêng tại phố Cầu Gỗ	-0.14892616135429582	17.3	15	15	2	21.0466439846439	105.858626130454
Căn hộ chung cư tại đường Nhật Tảo	-0.4697143677622291	1.5	2	2	2	21.0892556	105.7901382
Căn hộ chung cư tại Thống Nhất Complex	1.3069587754201706	4.9	3	2	2	20.998047	105.80354
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.025546081966629157	1.85	2	2	2	21.0024147033691	105.964111328125
Nhà riêng tại đường Hoàng Hoa Thám	-0.2229542089868958	15.0	4	4	2	21.0395998	105.8279835
Nhà riêng tại phố Hoàng Cầu	-0.025546081966629157	12.0	6	4	2	21.0160635	105.8210541
Nhà riêng tại phố Vạn Phúc	-0.7164745265375624	7.9	5	5	2	20.9751401	105.7865737
Nhà riêng tại đường Thạch Bàn	-0.8151785900476957	3.5	4	5	2	21.0250451	105.9078847
Căn hộ chung cư tại Iris Garden	1.6277469818281038	5.6	4	2	2	21.03116226196289	105.76041412353516
Căn hộ chung cư tại Mon City	-0.05022209784416248	3.0	2	2	2	21.035120010376	105.767433166504
Nhà mặt phố tại đường Thanh Nhàn	-1.2099948440882289	7.2	3	3	2	21.0029289	105.8534936
Nhà riêng tại đường Đội Cấn	-0.3956863201296291	7.0	4	4	2	21.0349161	105.8253805
Nhà riêng tại đường Tương Chúc	-0.7164745265375624	2.35	3	2	2	20.9230367	105.8573701
Căn hộ chung cư tại The Zurich - Vinhomes Ocean Park	-0.3216582724970291	2.9	2	2	-1	20.9939937591553	105.950202941895
Căn hộ chung cư tại GoldSeason	0.49265025146157077	5.0	3	2	2	20.99477195739746	105.8061294555664
Căn hộ chung cư tại Golden Park Tower	0.6653823626043041	5.2	3	2	2	21.026817321777344	105.78766632080078
Căn hộ chung cư tại phố Thái Thịnh	0.6407063467267707	2.25	3	2	2	21.0104478	105.8184384
Bán đất tại đường Lâm Hạ	-0.09957412959922915	20.0	1	1	2	21.0396538	105.882468
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	0.14718602917610416	13.2	6	5	2	20.9724464416504	105.819839477539
Căn hộ chung cư tại Grandeur Palace Giảng Võ	1.257606743665104	12.0	3	2	2	21.0287971496582	105.825675964355
Căn hộ chung cư tại Khu đô thị Yên Hòa	0.4432982197065041	3.6	2	2	2	21.0187587738037	105.794776916504
Nhà biệt thự, liền kề tại Khu đô thị Mễ Trì Thượng	0.39394618795143743	13.5	4	4	2	21.00552749633789	105.77912902832033
Nhà riêng tại đường Khương Đình	-0.4697143677622291	4.5	3	4	2	20.9921019	105.8135117
Căn hộ chung cư tại Helios Tower 75 Tam Trinh	-0.025546081966629157	2.9	2	2	2	20.9945850372314	105.863395690918
Nhà riêng tại đường Bùi Xương Trạch	-0.5930944471498958	4.2	4	3	2	20.9837848	105.8202444
Nhà riêng tại đường Minh Khai	-0.7411505424150957	3.5	4	3	2	20.9950928	105.8567517
Nhà riêng tại đường Trần Thái Tông	-0.3463342883745624	14.5	4	4	2	21.031806	105.7884853
Nhà riêng tại đường Hoàng Ngân	-0.5930944471498958	5.85	5	4	2	21.0071311	105.8100579
Nhà mặt phố tại đường Trương Định	-0.8151785900476957	4.0	3	3	1	20.9802743	105.844397
Căn hộ chung cư tại Thống Nhất Complex	1.3069587754201706	5.75	3	2	2	20.998047	105.80354
Nhà riêng tại đường Nhật Chiêu	-0.42036233600716244	12.5	4	3	2	21.0729163085679	105.8145592021
Nhà riêng tại đường Phan Đình Giót	-0.7164745265375624	4.03	3	4	2	20.9671105	105.7647705
Nhà riêng tại đường Trương Định	-0.765826558292629	4.35	5	4	2	20.980552	105.844657
Căn hộ chung cư tại Eco Dream Nguyễn Xiển	0.7147343943593707	3.5	3	2	-1	20.983062744140625	105.80908203125
Nhà biệt thự, liền kề tại đường 23B	0.39394618795143743	8.0	4	4	2	21.1514684	105.8340583
Nhà riêng tại đường Thạch Bàn	-0.6671224947824957	4.38	5	3	2	21.0250451	105.9078847
Nhà riêng tại đường Trịnh Văn Bô	-0.8892066376802957	2.9	3	3	2	21.0379017	105.7461221
Nhà riêng tại đường Nguyễn Ngọc Nại	-0.4697143677622291	10.9	3	5	2	20.9988373	105.8257652
Nhà riêng tại đường Ngọc Hà	-0.8892066376802957	3.95	3	4	2	21.0377651	105.8300275
Căn hộ chung cư tại Imperia Garden	1.5043669024404374	6.0	3	2	2	20.997276306152344	105.80298614501952
Nhà riêng tại phố Việt Hưng	-0.8645306218027624	3.4	3	4	2	21.0526129	105.8988115
Căn hộ chung cư tại Chung cư An Lạc - Mỹ Đình	0.5173262673391041	3.25	3	2	2	21.033037185668945	105.76166534423828
Căn hộ chung cư tại Eco Lake View	0.2705661085637708	3.05	2	2	-1	20.97309303283692	105.83837127685548
Nhà riêng tại phường Trương Định	-0.2229542089868958	6.3	6	7	-1	20.994455930658	105.849151145011
Nhà riêng tại đường Xuân Đỉnh	-0.9632346853128957	3.95	3	3	2	21.0713761	105.7943322
Nhà riêng tại đường Tứ Liên	0.023805949788437503	11.5	4	4	2	21.0695076	105.8378366
Căn hộ chung cư tại Chung cư Ban cơ yếu Chính phủ	-0.19827819310936246	3.3	2	2	2	20.99357986450196	105.79821014404295
Nhà mặt phố tại đường Kim Quan Thượng	0.24589009268623746	15.2	6	4	2	21.0585088	105.9018051
Nhà biệt thự, liền kề tại Làng Việt Kiều Châu Âu Euroland	0.2705661085637708	15.9	6	5	2	20.9834575653076	105.78564453125
Nhà riêng tại đường Nguyễn Xiển	-0.14892616135429582	11.5	4	4	-1	20.9871687	105.8065858
Căn hộ chung cư tại Bình Minh Garden	0.5666782990941708	3.1	3	2	1	21.0690975189209	105.888038635254
Nhà riêng tại phường Nghĩa Tân	-0.2229542089868958	8.5	4	5	2	21.045787506202	105.791100086797
Căn hộ chung cư tại Moonlight 1 - An Lạc Green Symphony	-0.05022209784416248	2.7	2	2	2	21.024394989013672	105.72908782958984
Căn hộ chung cư tại Chung cư Ruby City CT3	-0.5190663995172957	1.2	2	2	1	21.036306381225582	105.93312072753906
Nhà riêng tại phố Thái Hà	-0.19827819310936246	12.5	5	5	2	21.012597	105.8201087
Nhà riêng tại đường 32	-0.9632346853128957	2.25	3	3	2	21.0623667	105.7209301
Nhà riêng tại đường Vũ Xuân Thiều	-0.4697143677622291	8.15	4	5	2	21.0349208	105.919251
Căn hộ chung cư tại The Sakura - Vinhomes Smart City	0.29524212444130415	3.7	4	2	1	21.005226135253903	105.7389144897461
Nhà riêng tại đường Đào Tấn	0.4432982197065041	9.5	3	2	2	21.0325448	105.8089097
Căn hộ chung cư tại Usilk City	0.6160303308492374	3.05	3	2	2	20.9744720458984	105.760879516602
Nhà mặt phố tại đường Vĩnh Phúc	-0.6177704630274291	12.6	4	4	2	21.044106	105.8101164
Căn hộ chung cư tại Ecolife Capitol	1.035522600767304	4.2	3	2	2	20.9945335388184	105.789390563965
Nhà riêng tại đường Thanh Lân	-0.8398546059252291	3.3	4	4	2	20.9905612	105.8885841
Căn hộ chung cư tại Chung cư CT36 Xuân La	0.19653806093117082	3.85	2	2	2	21.059675216674805	105.8040771484375
Nhà riêng tại phố Trung Kính	0.14718602917610416	19.5	5	7	2	21.0187118	105.7924762
Căn hộ chung cư tại Tứ Hiệp Plaza	0.3692701720739041	2.6	3	2	2	20.95258903503418	105.8518524169922
Căn hộ chung cư tại Khu đô thị mới Nghĩa Đô	-0.27230624074196247	2.89	2	2	-1	21.050580978393555	105.79224395751952
Căn hộ chung cư tại The Matrix One	1.0601986166448374	5.7	3	2	2	21.0093860626221	105.773872375488
Căn hộ chung cư tại Diamond Goldmark City	0.8627904896245707	4.9	3	2	-1	21.044233322143555	105.76731872558594
Nhà riêng tại đường Vương Thừa Vũ	-0.27230624074196247	6.8	4	3	2	20.9986295	105.8218709
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	0.6407063467267707	10.0	5	5	2	20.9582824707031	105.767196655273
Căn hộ chung cư tại Vinhomes Smart City	-0.6424464789049624	1.8	2	1	2	21.0088520050049	105.743919372559
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	0.2705661085637708	2.4	3	2	2	21.00241470336914	105.964111328125
Nhà riêng tại đường Phan Đình Giót	-0.8892066376802957	4.6	4	4	2	20.9671105	105.7647705
Căn hộ chung cư tại Hateco Laroma	0.6653823626043041	7.1	3	2	2	21.020416259765625	105.80724334716795
Nhà mặt phố tại đường Thanh Bình	-0.2229542089868958	11.0	3	4	0	20.9824766	105.7780675
Nhà riêng tại đường Dương Quảng Hàm	-0.8398546059252291	7.7	3	4	2	21.036071320445	105.79414572387
Nhà riêng tại đường Văn Cao	-0.8892066376802957	4.6	4	4	2	21.0402033	105.8160685
Nhà riêng tại đường Cầu Giấy	-0.765826558292629	6.9	5	5	2	21.0347606	105.7945499
Nhà riêng tại đường Hòe Thị	-0.913882653557829	3.35	3	4	-1	21.0340856	105.7433023
Căn hộ chung cư tại phố Bạch Mai	0.2705661085637708	2.25	3	1	2	20.998032	105.8503425
Nhà riêng tại đường Nguyễn Khánh Toàn	1.1342266642774375	22.0	10	10	2	21.0377412	105.8008204
Nhà riêng tại đường Trần Quang Khải	-1.061938748823029	3.45	3	3	2	21.0262611	105.8594888
Căn hộ chung cư tại D’. Le Pont D’or - Hoàng Cầu	0.5666782990941708	5.8	2	2	2	21.0194931030273	105.822341918945
Nhà riêng tại đường Bồ Đề	-0.2229542089868958	8.88	5	5	-1	21.038073	105.8719363
Nhà riêng tại đường Mỹ Đình	-0.5930944471498958	6.8	5	4	2	21.0237213	105.7741546
Nhà riêng tại đường Hoàng Quốc Việt	-0.8398546059252291	4.6	3	4	2	21.0462988	105.7992852
Nhà riêng tại phố Khâm Thiên	-0.7411505424150957	3.6	3	3	-1	21.0193447	105.8342908
Căn hộ chung cư tại Grand Sunlake	0.5173262673391041	3.0	3	2	-1	20.979528427124	105.787567138672
Căn hộ chung cư tại HC Golden City	0.8134384578695041	5.08	3	2	-1	21.0371780395508	105.873069763184
Nhà riêng tại đường Phùng Khoang	-0.7164745265375624	4.6	9	10	2	20.9881778	105.7931517
Căn hộ chung cư tại Chung cư D2 Giảng Võ	1.1342266642774375	6.5	3	2	2	21.027835845947266	105.82476043701172
Nhà riêng tại đường Kim Ngưu	0.09783399742103749	11.2	6	4	2	21.0053719	105.861475
Căn hộ chung cư tại Green Park Trần Thủ Độ	1.4550148706853707	3.46	3	3	2	20.9587688446045	105.846313476563
Nhà riêng tại đường Đặng Văn Ngữ	-0.765826558292629	4.9	3	4	2	21.011875	105.8317303
Nhà riêng tại đường Dương Khuê	-0.0008700660890958257	16.6	5	8	-1	21.0353882	105.7730335
Căn hộ chung cư tại Goldmark City	2.9602518392149038	5.65	4	4	-1	21.0442333221436	105.767318725586
Căn hộ chung cư tại Bohemia Residence	0.4186222038289708	4.2	2	2	2	20.9974040985107	105.804061889648
Căn hộ chung cư tại Dolphin Plaza	3.0096038709699706	6.7	4	3	2	21.030044555664062	105.77662658691406
Nhà biệt thự, liền kề tại Khu đô thị Geleximco - Lê Trọng Tấn	1.257606743665104	14.0	5	4	2	20.97924041748047	105.74178314208984
Căn hộ chung cư tại Sunshine City	0.4186222038289708	4.5	2	2	1	21.09144401550293	105.78472137451172
Nhà riêng tại đường Minh Khai	-0.27230624074196247	5.6	4	6	2	20.9956015	105.8601969
Căn hộ chung cư tại Chung cư Đại Thanh	-0.6671224947824957	1.14	1	1	2	20.95757484436035	105.80690002441406
Nhà riêng tại đường 70	-0.6424464789049624	4.3	4	3	2	21.0039757	105.7497247
Nhà riêng tại đường Lý Nam Đế	-0.5930944471498958	15.8	5	6	2	21.0318859	105.8443155
Nhà riêng tại phố Vũ Ngọc Phan	-0.17360217723182914	6.6	4	3	2	21.0144087	105.8104389
Nhà riêng tại phố Vạn Phúc	-0.5930944471498958	5.75	4	4	2	20.9751401	105.7865737
Căn hộ chung cư tại đường Hoàng Quốc Việt	1.1342266642774375	2.25	3	2	-1	21.0460559	105.7916464
Nhà riêng tại đường Trần Quốc Vượng	-0.5930944471498958	6.2	3	3	2	21.0345145	105.7840368
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	0.2705661085637708	2.24	2	2	2	21.00241470336914	105.964111328125
Nhà riêng tại phố Hào Nam	0.24589009268623746	13.4	16	16	2	21.0255158	105.8275913
Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm	1.997887219991104	23.0	4	4	2	21.00241470336914	105.964111328125
Nhà mặt phố tại đường Nguyễn Văn Trỗi	-0.3463342883745624	11.5	4	5	2	20.9815383	105.7852512
Nhà riêng tại đường Kim Đồng	0.023805949788437503	13.89	8	3	2	20.983614	105.8433353
Căn hộ chung cư tại Royal City	0.9861705690122373	5.8	3	3	2	21.002666473388672	105.8154296875
Căn hộ chung cư tại Chung cư Sông Đà 7	0.7640864261144374	4.0	2	2	2	21.0112419128418	105.79534149169922
Căn hộ chung cư tại Chung cư Sông Đà 7	0.5666782990941708	4.5	3	2	2	21.0112419128418	105.795341491699
Căn hộ chung cư tại N01-T4 Ngoại Giao Đoàn	1.0108465848897707	6.05	3	2	2	21.06303596496582	105.79541778564452
Nhà riêng tại đường Hoa Bằng	-0.5930944471498958	6.3	7	7	2	21.0235594	105.7933213
Căn hộ chung cư tại TSQ Galaxy	3.281040045622837	5.5	3	3	2	20.9845218658447	105.775535583496
Nhà riêng tại đường Nguyễn Ngọc Nại	-0.8398546059252291	8.6	6	5	2	20.9988373	105.8257652
Nhà riêng tại phố Trần Cung	-0.9632346853128957	3.5	3	3	2	21.047628	105.790203
Nhà riêng tại đường Mậu Lương	-0.3463342883745624	8.1	5	4	2	20.9584268	105.7945406
Nhà riêng tại đường Lai Xá	-0.9632346853128957	2.6	3	4	2	21.0651094	105.7160469
Nhà riêng tại đường La Dương	-0.8398546059252291	3.25	3	4	2	20.9709582	105.7470688
Nhà riêng tại đường Mỹ Đình	0.8134384578695041	13.9	18	18	2	21.0237213	105.7741546
Nhà riêng tại đường Trần Thái Tông	-0.5930944471498958	6.35	3	3	2	21.031399	105.7883883
Nhà riêng tại đường Lý Nam Đế	-0.3463342883745624	12.0	3	4	2	21.0371332	105.8454129
Căn hộ chung cư tại Chelsea Park	3.89794044256117	9.7	4	3	2	21.01901626586914	105.79320526123048
Căn hộ chung cư tại đường Vĩnh Hồ	0.14718602917610416	2.8	3	2	2	21.0072657	105.8200161
Nhà mặt phố tại đường Lâm Du	0.7640864261144374	15.0	20	20	2	21.035675	105.8726639
Nhà riêng tại đường La Tinh	-0.8892066376802957	1.98	3	3	2	20.9704838	105.7204476
Nhà mặt phố tại đường Hoàng Văn Thái	0.3445941561963708	23.0	4	5	2	20.9965037	105.8261259
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.6424464789049624	1.45	1	1	2	21.002415	105.96411
Nhà riêng tại đường Nguyễn Sơn	0.17186204505363747	10.0	4	5	2	21.0456361	105.8807065
Nhà riêng tại đường Nguyễn Văn Cừ	-0.2229542089868958	11.9	4	4	2	21.0495394	105.8834124
Căn hộ chung cư tại Chung cư Vườn Xuân - 71 Nguyễn Chí Thanh	1.0108465848897707	5.0	3	2	2	21.01537132263184	105.81288146972656
Nhà riêng tại đường Hoàng Quốc Việt	0.14718602917610416	13.45	6	3	2	21.0462988	105.7992852
Nhà riêng tại đường Nguyễn Văn Lộc	-0.025546081966629157	18.4	4	4	-1	20.9851872	105.7859179
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Quán	-0.09957412959922915	20.0	6	6	-1	20.97396278381348	105.78907012939452
Căn hộ chung cư tại Khu đô thị Thanh Hà Mường Thanh	0.19653806093117082	1.68	2	2	-1	20.9397029876709	105.7872543334961
Nhà riêng tại đường Xuân La	0.4186222038289708	18.5	6	4	2	21.0644876	105.8061035
Căn hộ chung cư tại Vinhomes Smart City	-0.0008700660890958257	2.4	2	2	2	21.008852005004883	105.7439193725586
Nhà biệt thự, liền kề tại Tiểu khu đô thị mới Vạn Phúc	0.2705661085637708	9.5	5	4	2	20.9872114462887	105.771211290092
Căn hộ chung cư tại Ecohome Phúc Lợi	0.22121407680870414	2.25	3	2	2	21.0423583984375	105.92729949951172
Nhà riêng tại đường Hoàng Quốc Việt	0.023805949788437503	12.0	7	7	2	21.0462988	105.7992852
Nhà riêng tại phố Hoàng Cầu	-0.5190663995172957	16.0	6	8	2	21.0164891	105.8227091
Nhà riêng tại đường Tân Mai	-0.3216582724970291	5.05	6	4	2	20.9837408	105.8500372
Căn hộ chung cư tại Hapulico Complex	0.46797423558403745	4.35	2	2	2	21.00048828125	105.80715942382812
Nhà riêng tại phường Yên Sở	-0.9632346853128957	3.3	3	4	2	20.9636343337819	105.86808085904
Căn hộ chung cư tại Five Star Kim Giang	0.19653806093117082	3.2	2	2	2	20.9860000610352	105.812187194824
Nhà biệt thự, liền kề tại đường Quốc lộ 3	5.699289601621103	16.0	5	5	-1	21.179397	105.8470185
Nhà riêng tại đường Đội Cấn	0.12251001329857082	22.0	12	6	2	21.0350682	105.8233364
Nhà riêng tại đường Trần Thái Tông	-0.7164745265375624	9.2	6	4	2	21.031399	105.7883883
Căn hộ chung cư tại Eco Lake View	-0.05022209784416248	2.14	2	2	-1	20.9730930328369	105.838371276855
Nhà riêng tại đường Nguyễn Văn Cừ	-0.2229542089868958	6.0	4	3	2	21.0438304	105.8723803
Nhà riêng tại phố Hoàng Ngọc Phách	-0.09957412959922915	16.2	5	5	2	21.0157884	105.8120464
Nhà riêng tại đường Xuân La	-0.6671224947824957	12.8	4	6	2	21.0644876	105.8061035
Căn hộ chung cư tại N03-T1 Ngoại Giao Đoàn	0.7640864261144374	4.5	3	2	2	21.06576538085937	105.79808044433594
Nhà riêng tại đường Lĩnh Nam	-0.8892066376802957	2.1	2	1	2	20.9835701	105.8755165
Nhà riêng tại đường Nguyễn Ngọc Nại	-0.6424464789049624	12.7	4	5	2	20.9988373	105.8257652
Nhà riêng tại đường 70	-0.7905025741701623	4.0	4	4	2	21.0039757	105.7497247
Nhà mặt phố tại phường Thạch Bàn	-0.42036233600716244	12.5	5	6	2	21.0210843167127	105.91777772435
Nhà riêng tại đường Trần Hưng Đạo	-0.5930944471498958	12.75	3	4	-1	21.0225734	105.8468596
Căn hộ chung cư tại Chung cư CT4 Yên Nghĩa	0.7887624419919708	2.27	3	2	2	20.9540576934814	105.740982055664
Nhà riêng tại phố Trần Cung	-0.8398546059252291	4.1	3	4	2	21.0523823	105.7891513
Nhà riêng tại đường Đại Từ	-0.5684184312723625	5.3	4	3	2	20.9713546	105.8353495
Nhà riêng tại đường Tân Mai	-0.6177704630274291	4.7	4	3	2	20.9837408	105.8500372
