Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon
Căn hộ chung cư tại Sky Central	0.39394618795143743	4.1	3	2	2	20.9827823638916	105.83438110351562
Căn hộ chung cư tại Goldmark City	1.6030709659505706	5.5	3	2	2	21.044233322143555	105.76731872558594
Căn hộ chung cư tại Mon City	-0.3463342883745624	3.1	2	1	2	21.035120010375977	105.7674331665039
Nhà riêng tại đường Nguyễn Văn Cừ	1.3809868230527707	12.5	4	5	2	21.0438304	105.8723803
Căn hộ chung cư tại Home City Trung Kính	0.7147343943593707	5.2	3	2	2	21.016098022460938	105.79248809814452
Căn hộ chung cư tại C37 Bộ Công An - Bắc Hà Tower	0.3692701720739041	3.2	2	2	2	20.996829986572266	105.79383850097656
Nhà biệt thự, liền kề tại đường Tư Đình	0.7640864261144374	16.5	4	4	2	21.028876	105.8840985
Nhà riêng tại đường Nguyễn Xiển	-0.42036233600716244	13.8	4	4	2	20.9871687	105.8065858
Căn hộ chung cư tại Tây Hồ Residence	0.6407063467267707	5.4	3	2	1	21.0555438995361	105.805130004883
Nhà mặt phố tại đường Yên Phúc	-0.3463342883745624	7.35	4	3	2	20.9703841	105.7868365
Nhà riêng tại đường Sáp Mai	0.2705661085637708	3.5	3	3	-1	21.1045041	105.7741216
Căn hộ chung cư tại Bình Minh Garden	0.12251001329857082	2.79	2	2	2	21.0690975189209	105.8880386352539
Nhà riêng tại đường Trịnh Công Sơn	0.023805949788437503	18.0	5	6	2	21.0777116	105.817596
Nhà riêng tại phường Ngọc Thụy	-0.3463342883745624	5.19	4	4	2	21.0590369255725	105.868185428359
Nhà riêng tại đường Thạch Bàn	-0.5930944471498958	6.3	3	4	2	21.0250451	105.9078847
Căn hộ chung cư tại Bình Minh Garden	0.12251001329857082	3.0	2	2	2	21.0690975189209	105.888038635254
Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra	-0.5190663995172957	2.2	1	1	2	21.07213592529297	105.81099700927734
Căn hộ chung cư tại Vinhomes Smart City	-0.3463342883745624	2.5	2	1	2	21.008852005004883	105.7439193725586
Nhà riêng tại đường Đại Mỗ	-0.5930944471498958	5.45	4	4	2	20.9898009	105.7615252
Nhà riêng tại đường Phan Kế Bính	0.14718602917610416	18.48	5	5	2	21.0349216	105.8102447
Nhà riêng tại phố Nguyễn Ngọc Vũ	-0.3463342883745624	10.3	4	3	2	21.0118082	105.8083617
Căn hộ chung cư tại đường Nguyễn Khang	-0.5930944471498958	6.2	6	4	2	21.0276141	105.7986536
Nhà riêng tại đường Cầu Bươu	-0.9632346853128957	3.75	3	4	2	20.9591532	105.8040058
Nhà riêng tại đường Đào Tấn	-0.8398546059252291	5.4	3	3	2	21.0325448	105.8089097
Căn hộ chung cư tại đường Xuân Đỉnh	-0.913882653557829	0.75	1	1	2	21.0713761	105.7943322
Nhà riêng tại phố Nghĩa Đô	-0.5684184312723625	12.0	4	4	2	21.0483269	105.7956063
Nhà riêng tại đường Ngãi Cầu	-0.9632346853128957	2.0	3	2	2	20.9894633	105.7189807
Căn hộ chung cư tại Green Park Trần Thủ Độ	0.4186222038289708	3.3	3	2	0	20.9587688446045	105.846313476563
Căn hộ chung cư tại đường Trường Chinh	-0.27230624074196247	0.85	2	1	-1	21.0000096	105.8308563
Căn hộ chung cư tại South Tower	-0.09957412959922915	2.45	2	2	2	20.962495803833008	105.84484100341795
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.14892616135429582	2.3	2	2	2	21.00241470336914	105.964111328125
Nhà riêng tại xã La Phù	-0.8645306218027624	2.65	3	4	2	20.9774186214318	105.734460372663
Căn hộ chung cư tại Hateco Apollo	-0.27230624074196247	2.3	2	1	2	21.035062789916992	105.74966430664062
Căn hộ chung cư tại Golden Land	1.4550148706853707	4.8	3	2	2	20.9934864044189	105.806907653809
Căn hộ chung cư tại Mulberry Lane	2.0965912835012372	6.0	3	2	2	20.98651885986328	105.7863998413086
Căn hộ chung cư tại Goldmark City	0.8627904896245707	3.8	3	2	-1	21.044233322143555	105.76731872558594
Nhà biệt thự, liền kề tại Khu chức năng đô thị Ao Sào	-0.07489811372169582	10.8	5	5	2	20.975595474243164	105.85230255126952
Căn hộ chung cư tại Sunshine Riverside	0.29524212444130415	3.9	2	2	2	21.078651428222656	105.8026123046875
Nhà biệt thự, liền kề tại Khu đô thị Kiến Hưng	-0.025546081966629157	8.3	5	5	2	20.9521503448486	105.785385131836
Nhà riêng tại phố Phố Vọng	-0.17360217723182914	5.7	5	3	2	20.9974186	105.8426514
Căn hộ chung cư tại C14 - Bộ Công An	0.9861705690122373	3.0	3	3	2	20.990812301635746	105.7839126586914
Căn hộ chung cư tại Sunshine Riverside	0.7147343943593707	5.2	3	3	2	21.0786514282227	105.802612304688
Nhà riêng tại đường Tô Vĩnh Diện	-0.8645306218027624	7.55	4	6	2	20.9996802	105.820891
Căn hộ chung cư tại Sunshine Golden River	1.7511270612157706	11.06	3	3	1	21.078651428222656	105.8026123046875
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.8645306218027624	1.13	1	1	2	21.00241470336914	105.964111328125
Nhà riêng tại phố Cầu Cốc	-0.6917985106600291	3.65	4	4	2	20.9996436	105.7422158
Căn hộ chung cư tại Mỹ Đình Pearl	0.12251001329857082	4.0	2	2	2	21.0124320983887	105.767395019531
Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính	0.22121407680870414	3.2	3	2	2	21.00836563110352	105.80290985107422
Nhà riêng tại đường Ngọc Thụy	-0.27230624074196247	5.35	2	2	2	21.0497426	105.8667669
Căn hộ chung cư tại Imperia Garden	0.5913543149717041	5.4	3	2	2	20.997276306152344	105.80298614501952
Nhà biệt thự, liền kề tại Khu đô thị Mỗ Lao	0.6407063467267707	10.0	4	4	2	20.98268699645996	105.7816162109375
Căn hộ chung cư tại đường Nam Đồng	-1.135966796455629	1.5	2	1	2	21.0151077	105.8385705
Nhà riêng tại đường Trương Định	-0.7411505424150957	4.35	5	4	2	20.9876115	105.8469401
Nhà mặt phố tại đường Nguyễn Thượng Hiền	0.961494553134704	9.5	3	2	-1	21.0188645	105.8430941
Nhà riêng tại phố Lạc Trung	0.3199181403188375	12.8	5	6	2	21.0015439845762	105.867734936523
Căn hộ chung cư tại Le Grand Jardin Sài Đồng	1.0108465848897707	3.6	3	2	2	21.0359783172607	105.906295776367
Căn hộ chung cư tại Masteri West Heights	-0.6424464789049624	2.6	1	1	2	21.00620651245117	105.73707580566406
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	0.5173262673391041	13.3	4	4	2	20.958282470703125	105.76719665527344
Nhà riêng tại đường Nguyễn Đức Cảnh	-0.17360217723182914	11.9	5	7	-1	20.987038	105.8518791
Nhà riêng tại đường Xuân Thủy	-0.42036233600716244	6.3	4	4	-1	21.0364968	105.7856248
Nhà riêng tại đường Thụy Khuê	-0.8151785900476957	4.6	3	4	2	21.0427171	105.8241613
Nhà riêng tại đường Phú Đô	-0.2969822566194958	4.5	4	4	2	21.0136368	105.7687504
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	1.405662838930304	16.5	5	5	2	20.958282470703125	105.76719665527344
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	0.5173262673391041	9.6	5	5	2	20.958282470703125	105.76719665527344
Nhà riêng tại đường Phúc Lợi	-0.7164745265375624	2.68	2	2	2	21.0387726	105.9346688
Nhà riêng tại đường Trịnh Văn Bô	-0.913882653557829	2.75	3	4	2	21.0379017	105.7461221
Nhà riêng tại đường Ngọc Hà	0.5173262673391041	19.0	21	21	2	21.0358446	105.8312526
Căn hộ chung cư tại Seasons Avenue	0.7640864261144374	4.0	2	2	-1	20.9870262145996	105.786834716797
Nhà riêng tại đường Hoàng Quốc Việt	-0.4697143677622291	16.0	8	8	2	21.0462988	105.7992852
Căn hộ chung cư tại Valencia Garden	-0.17360217723182914	1.85	2	1	2	21.05584526062012	105.91175079345705
Nhà mặt phố tại đường Phú Đô	-0.07489811372169582	16.0	12	8	2	21.0136368	105.7687504
Nhà riêng tại đường Ỷ La	-0.8398546059252291	2.9	3	4	2	20.9709582	105.7470688
Nhà riêng tại đường Hoàng Hoa Thám	-0.8398546059252291	5.5	3	4	2	21.0395998	105.8279835
Căn hộ chung cư tại Tòa nhà 197 Trần Phú	0.07315798154350417	2.4	2	2	2	20.979808807373047	105.78756713867188
Nhà riêng tại đường Văn Phú	-0.8398546059252291	3.55	3	4	2	20.9620075	105.7685814
Nhà mặt phố tại đường Lạc Long Quân	-0.7164745265375624	18.0	3	5	2	21.0610134	105.809127
Nhà riêng tại đường An Trai	-0.8151785900476957	2.95	3	4	2	21.0330854	105.735332
Nhà riêng tại đường Đội Cấn	-0.17360217723182914	9.6	4	5	2	21.0378684	105.8107873
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	-0.025546081966629157	1.85	2	2	2	21.0024147033691	105.964111328125
Nhà riêng tại phố Vũ Tông Phan	-0.2229542089868958	4.85	6	4	2	20.9980038	105.8172118
Nhà riêng tại đường Ngọc Lâm	-0.2229542089868958	4.8	3	4	2	21.0468238	105.8717343
Nhà riêng tại đường Yên Hòa	-0.3463342883745624	6.79	7	4	2	21.023216	105.7948113
Căn hộ chung cư tại đường Thanh Nhàn	-1.0125867170679623	1.15	2	1	-1	21.0027755	105.8563287
Nhà riêng tại phố Trần Cung	-0.5930944471498958	5.5	4	4	2	21.0523823	105.7891513
Căn hộ chung cư tại The Terra An Hưng	0.5173262673391041	3.43	3	2	2	20.974346160888672	105.75416564941406
Nhà riêng tại đường Nghĩa Lộ	-0.8398546059252291	2.7	6	4	2	20.9511784	105.7397484
Căn hộ chung cư tại đường Phạm Văn Đồng	-0.913882653557829	0.75	1	1	1	21.0730776	105.7857525
Căn hộ chung cư tại Iris Garden	1.5783949500730372	4.66	3	2	2	21.0311622619629	105.760414123535
Căn hộ chung cư tại đường Kim Ngưu	-0.9632346853128957	1.89	1	1	2	21.0004065	105.8615783
Nhà riêng tại đường Láng	-0.3710103042520958	4.65	4	3	2	21.0116253	105.8099949
Nhà riêng tại đường Lê Trọng Tấn	-0.14892616135429582	14.0	4	4	2	21.0002924	105.8280106
Nhà mặt phố tại phường Văn Quán	0.39394618795143743	20.95	7	8	2	20.9761537522241	105.79117827989
Nhà riêng tại Khu đô thị Đại Kim	-0.3710103042520958	12.5	4	6	2	20.9748001098633	105.835304260254
Nhà riêng tại đường Xuân La	-0.09957412959922915	15.5	4	5	2	21.0644876	105.8061035
Căn hộ chung cư tại đường Cửa Bắc	1.0108465848897707	2.5	3	1	2	21.0436773	105.8428824
Căn hộ chung cư tại Khu đô thị mới Xa La	0.6407063467267707	2.59	3	2	2	20.9624671936035	105.792366027832
Căn hộ chung cư tại Dolphin Plaza	2.614787616929437	5.95	3	2	2	21.030044555664062	105.77662658691406
Nhà riêng tại đường Ngọc Lâm	-0.8398546059252291	4.1	4	3	2	21.0468238	105.8717343
Nhà riêng tại đường Hòe Thị	-0.9632346853128957	2.9	3	3	2	21.0340856	105.7433023
Nhà riêng tại đường Kim Giang	-0.7164745265375624	3.85	4	4	2	20.9791213	105.8210801
Căn hộ chung cư tại Hà Nội Paragon	0.8381144737470374	4.8	3	2	2	21.03117752075196	105.78939819335938
Nhà riêng tại đường Đội Nhân	-0.6671224947824957	7.2	5	4	2	21.0411352	105.8113651
Căn hộ chung cư tại IA20 Ciputra	1.0108465848897707	3.77	4	2	2	21.091917037963867	105.78500366210938
Căn hộ chung cư tại Khu đô thị Việt Hưng	0.09783399742103749	2.05	2	2	2	21.06269073486328	105.90833282470705
Nhà riêng tại đường Nguyễn Văn Cừ	-1.4567550028635623	1.25	3	3	2	21.0438304	105.8723803
Nhà riêng tại đường Đại lộ Thăng Long	-0.6917985106600291	1.85	3	3	2	21.0041479	105.6781472
Nhà riêng tại đường Vĩnh Hưng	-0.14892616135429582	4.5	4	5	-1	20.9891728	105.8779296
Căn hộ chung cư tại Tây Hồ Residence	0.39394618795143743	4.6	2	2	2	21.055543899536133	105.8051300048828
Nhà riêng tại đường Lê Trọng Tấn	-0.4697143677622291	8.0	4	4	2	20.9681471	105.7549524
Căn hộ chung cư tại Chung cư The Nine	0.4432982197065041	5.0	2	2	2	21.040441513061523	105.7807159423828
Nhà riêng tại phố Phạm Tuấn Tài	-0.4697143677622291	13.8	4	4	2	21.043684	105.7863369
Nhà riêng tại đường Thụy Khuê	-0.5190663995172957	11.5	4	4	2	21.0427171	105.8241613
Căn hộ chung cư tại Hoàng Thành Pearl	0.2705661085637708	4.4	2	2	-1	21.040159225463867	105.76131439208984
Căn hộ chung cư tại Vinhomes Gardenia	0.887466505502104	4.5	2	2	2	21.0365676879883	105.760482788086
Căn hộ chung cư tại Vinhomes Smart City	0.2705661085637708	3.68	3	1	2	21.008852005004883	105.7439193725586
Căn hộ chung cư tại Goldmark City	1.6277469818281038	5.35	3	2	-1	21.0442333221436	105.767318725586
Nhà riêng tại đường Nguyễn Văn Cừ	0.6407063467267707	13.0	6	5	2	21.0438304	105.8723803
Nhà riêng tại đường Tô Vĩnh Diện	-0.8151785900476957	6.5	3	4	2	20.9996802	105.820891
Nhà riêng tại phường Ngọc Lâm	0.048481965665970836	13.6	5	5	2	21.046162477343	105.871702740175
Nhà riêng tại phố Nghĩa Dũng	0.2705661085637708	13.9	4	3	2	21.0477589	105.8472772
Nhà biệt thự, liền kề tại Tiểu khu đô thị Nam La Khê	1.405662838930304	16.5	5	5	2	20.972412109375	105.76152801513672
Nhà riêng tại phố Bạch Mai	-0.913882653557829	3.7	4	3	2	20.9979326	105.8503243
Nhà riêng tại phố Phạm Tuấn Tài	-0.05022209784416248	12.5	4	6	2	21.043684	105.7863369
Nhà riêng tại đường Nguyễn Hoàng	-0.7164745265375624	6.5	4	5	2	21.0312752	105.7744451
Nhà riêng tại đường Quang Trung	-0.3463342883745624	8.4	12	12	2	20.9652675	105.7681278
Nhà riêng tại đường Kim Giang	-0.24763022486442912	4.2	3	3	2	20.9829753	105.8154407
Nhà riêng tại đường Phú Gia	-0.8398546059252291	3.69	4	4	2	21.0857029824546	105.807473840198
Nhà riêng tại đường An Dương Vương	0.2705661085637708	8.9	3	3	2	21.0897932	105.804506
Căn hộ chung cư tại Tòa nhà 282 Lĩnh Nam	-0.05022209784416248	2.1	2	2	2	20.981918334960938	105.8793716430664
Nhà riêng tại đường Ngọc Thụy	-0.4697143677622291	4.7	5	4	2	21.0497426	105.8667669
Căn hộ chung cư tại C3 Tower - Golden Palace	4.317432712479237	12.5	5	3	-1	21.00445556640625	105.80252838134766
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	0.5173262673391041	12.3	5	4	-1	20.958282470703125	105.76719665527344
Nhà riêng tại phố Thái Thịnh	-0.8151785900476957	4.8	3	3	2	21.0104478	105.8184384
Căn hộ chung cư tại Khu đô thị mới Linh Đàm	-0.5684184312723625	1.2	1	1	-1	20.97145652770996	105.8281707763672
Nhà riêng tại phố Xã Đàn	-0.4697143677622291	10.5	7	7	-1	21.0160174	105.8326225
Nhà mặt phố tại đường Cù Chính Lan	0.14718602917610416	17.5	5	4	2	20.9996748	105.8233472
Căn hộ chung cư tại Vinata Tower	0.5173262673391041	4.1	2	2	2	20.9965934753418	105.79893493652344
Căn hộ chung cư tại Northern Diamond	1.775803077093304	5.5	3	2	2	21.03144645690918	105.90082550048828
Nhà riêng tại đường Võ Chí Công	-0.8398546059252291	4.6	3	4	-1	21.0501369	105.8046899
Căn hộ chung cư tại Imperial Plaza	1.183578696032504	4.5	3	2	1	20.9854316711426	105.839340209961
