Tên	Diện tích	Mức giá	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Quận	Thành phố
Nhà riêng tại đường Đặng Văn Ngữ	51	5.8	5	3	2	21.010018	105.831154	Đống Đa	Hà Nội
Nhà riêng tại phố Láng Hạ	49	12.0	4	6	2	21.0153717	105.8128851	Đống Đa	Hà Nội
Căn hộ chung cư tại Sky Central	85	4.1	3	2	2	20.9827823638916	105.83438110351562	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Goldmark City	134	5.5	3	2	2	21.044233322143555	105.76731872558594	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Mon City	55	3.1	2	1	2	21.035120010375977	105.7674331665039	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	125	12.5	4	5	2	21.0438304	105.8723803	Long Biên	Hà Nội
Căn hộ chung cư tại Home City Trung Kính	98	5.2	3	2	2	21.016098022460938	105.79248809814452	Cầu Giấy	Hà Nội
Căn hộ chung cư tại C37 Bộ Công An - Bắc Hà Tower	84	3.2	2	2	2	20.996829986572266	105.79383850097656	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại đường Tư Đình	100	16.5	4	4	2	21.028876	105.8840985	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Xiển	52	13.8	4	4	2	20.9871687	105.8065858	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Tây Hồ Residence	95	5.4	3	2	1	21.0555438995361	105.805130004883	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Yên Phúc	55	7.35	4	3	2	20.9703841	105.7868365	Hà Đông	Hà Nội
Nhà riêng tại đường Sáp Mai	80	3.5	3	3	-1	21.1045041	105.7741216	Đông Anh	Hà Nội
Căn hộ chung cư tại Bình Minh Garden	74	2.79	2	2	2	21.0690975189209	105.8880386352539	Long Biên	Hà Nội
Nhà riêng tại đường Trịnh Công Sơn	70	18.0	5	6	2	21.0777116	105.817596	Tây Hồ	Hà Nội
Nhà riêng tại phường Ngọc Thụy	55	5.19	4	4	2	21.0590369255725	105.868185428359	Long Biên	Hà Nội
Nhà riêng tại đường Thạch Bàn	45	6.3	3	4	2	21.0250451	105.9078847	Long Biên	Hà Nội
Căn hộ chung cư tại Bình Minh Garden	74	3.0	2	2	2	21.0690975189209	105.888038635254	Long Biên	Hà Nội
Căn hộ chung cư tại Khu đô thị Nam Thăng Long - Ciputra	48	2.2	1	1	2	21.07213592529297	105.81099700927734	Tây Hồ	Hà Nội
Căn hộ chung cư tại Vinhomes Smart City	55	2.5	2	1	2	21.008852005004883	105.7439193725586	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Đại Mỗ	45	5.45	4	4	2	20.9898009	105.7615252	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Phan Kế Bính	75	18.48	5	5	2	21.0349216	105.8102447	Ba Đình	Hà Nội
Nhà riêng tại phố Nguyễn Ngọc Vũ	55	10.3	4	3	2	21.0118082	105.8083617	Cầu Giấy	Hà Nội
Căn hộ chung cư tại đường Nguyễn Khang	45	6.2	6	4	2	21.0276141	105.7986536	Cầu Giấy	Hà Nội
Nhà riêng tại đường Cầu Bươu	30	3.75	3	4	2	20.9591532	105.8040058	Thanh Trì	Hà Nội
Nhà riêng tại đường Đào Tấn	35	5.4	3	3	2	21.0325448	105.8089097	Ba Đình	Hà Nội
Căn hộ chung cư tại đường Xuân Đỉnh	32	0.75	1	1	2	21.0713761	105.7943322	Bắc Từ Liêm	Hà Nội
Nhà riêng tại phố Nghĩa Đô	46	12.0	4	4	2	21.0483269	105.7956063	Cầu Giấy	Hà Nội
Nhà riêng tại đường Ngãi Cầu	30	2.0	3	2	2	20.9894633	105.7189807	Hoài Đức	Hà Nội
Căn hộ chung cư tại Green Park Trần Thủ Độ	86	3.3	3	2	0	20.9587688446045	105.846313476563	Hoàng Mai	Hà Nội
Căn hộ chung cư tại đường Trường Chinh	58	0.85	2	1	-1	21.0000096	105.8308563	Thanh Xuân	Hà Nội
Căn hộ chung cư tại South Tower	65	2.45	2	2	2	20.962495803833008	105.84484100341795	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	63	2.3	2	2	2	21.00241470336914	105.964111328125	Gia Lâm	Hà Nội
Nhà riêng tại xã La Phù	34	2.65	3	4	2	20.9774186214318	105.734460372663	Hoài Đức	Hà Nội
Căn hộ chung cư tại Hateco Apollo	58	2.3	2	1	2	21.035062789916992	105.74966430664062	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Golden Land	128	4.8	3	2	2	20.9934864044189	105.806907653809	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Mulberry Lane	154	6.0	3	2	2	20.98651885986328	105.7863998413086	Hà Đông	Hà Nội
Căn hộ chung cư tại Goldmark City	104	3.8	3	2	-1	21.044233322143555	105.76731872558594	Bắc Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu chức năng đô thị Ao Sào	66	10.8	5	5	2	20.975595474243164	105.85230255126952	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Sunshine Riverside	81	3.9	2	2	2	21.078651428222656	105.8026123046875	Tây Hồ	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Kiến Hưng	68	8.3	5	5	2	20.9521503448486	105.785385131836	Hà Đông	Hà Nội
Nhà riêng tại phố Phố Vọng	62	5.7	5	3	2	20.9974186	105.8426514	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại C14 - Bộ Công An	109	3.0	3	3	2	20.990812301635746	105.7839126586914	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Sunshine Riverside	98	5.2	3	3	2	21.0786514282227	105.802612304688	Tây Hồ	Hà Nội
Nhà riêng tại đường Tô Vĩnh Diện	34	7.55	4	6	2	20.9996802	105.820891	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Sunshine Golden River	140	11.06	3	3	1	21.078651428222656	105.8026123046875	Tây Hồ	Hà Nội
Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm	34	1.13	1	1	2	21.00241470336914	105.964111328125	Gia Lâm	Hà Nội
Nhà riêng tại phố Cầu Cốc	41	3.65	4	4	2	20.9996436	105.7422158	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Mỹ Đình Pearl	74	4.0	2	2	2	21.0124320983887	105.767395019531	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính	78	3.2	3	2	2	21.00836563110352	105.80290985107422	Cầu Giấy	Hà Nội
Nhà riêng tại đường Ngọc Thụy	58	5.35	2	2	2	21.0497426	105.8667669	Long Biên	Hà Nội
Căn hộ chung cư tại Imperia Garden	93	5.4	3	2	2	20.997276306152344	105.80298614501952	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Mỗ Lao	95	10.0	4	4	2	20.98268699645996	105.7816162109375	Hà Đông	Hà Nội
Căn hộ chung cư tại đường Nam Đồng	23	1.5	2	1	2	21.0151077	105.8385705	Đống Đa	Hà Nội
Nhà riêng tại đường Trương Định	39	4.35	5	4	2	20.9876115	105.8469401	Hoàng Mai	Hà Nội
Nhà mặt phố tại đường Nguyễn Thượng Hiền	108	9.5	3	2	-1	21.0188645	105.8430941	Hai Bà Trưng	Hà Nội
Nhà riêng tại phố Lạc Trung	82	12.8	5	6	2	21.0015439845762	105.867734936523	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Le Grand Jardin Sài Đồng	110	3.6	3	2	2	21.0359783172607	105.906295776367	Long Biên	Hà Nội
Căn hộ chung cư tại Masteri West Heights	43	2.6	1	1	2	21.00620651245117	105.73707580566406	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Phú	90	13.3	4	4	2	20.958282470703125	105.76719665527344	Hà Đông	Hà Nội
Nhà riêng tại đường Xuân Thủy	52	6.3	4	4	-1	21.0364968	105.7856248	Cầu Giấy	Hà Nội
Nhà riêng tại đường Thụy Khuê	36	4.6	3	4	2	21.0427171	105.8241613	Tây Hồ	Hà Nội
